split,cluster_id,member_count,edge_count,minimum_character_trigram_jaccard,minimum_sequence_ratio,has_label_conflict,has_mixed_missing_labels,representative_preview,member_ids,conflicting_label_columns,mixed_missing_label_columns
train,05bbc43d178837bbdad3e9aa19882efa059d4c9f6b2ffe8fdffc3cc4d22aed1f,43,269,0.7233009708737864,0.8397291196388262,True,False,"Chất liệu cotton tàm tạm, kiểu dáng cơ bản mặc ở nhà khá hợp lý. Tay áo hơi dài một chút nhưng vẫn chấp nhận được. Giá cả ở mức trung bình, đúng là tiền nào ...",578|1040|1172|2346|6674|6827|8088|12496|19696|21902|22084|22597|24812|25813|26103|27967|28366|34604|35847|37483|37699|42041|42044|44756|45503|45995|47098|49082|50691|51769|51864|53433|63217|66541|72410|75050|81582|81733|83210|84777|86066|87045|88857,Dịch vụ,
train,ad6a658bb85578ea0b9c91f258e1aa1840c02fc7739d8eebc23cd1caae133afc,39,114,0.7203791469194313,0.8472906403940886,True,False,"Chất vải nỉ sờ vào bình thường, không quá dày dặn. Quần may rất chuẩn, mình mặc vừa in không cần sửa. Tuy nhiên mức giá này thực sự hơi chát, cộng thêm việc ...",399|1105|1486|3035|5810|12065|12662|18147|21877|28830|29655|30719|31292|33221|34258|35128|37724|39242|45351|50185|51861|52235|53182|53327|53544|57694|57724|57768|60439|61200|63450|64793|66544|70094|70146|76222|84593|87805|87973,Kiểu dáng|Dịch vụ,
train,bb1e092df77fb0e68e5dccfcdd9dc31bda6e58238d06feb8017edb8f4ff795a6,4,3,0.7878787878787878,0.8970588235294118,True,False,"Chất lượng sản phẩm tuyệt vời lắm, giao hàng nhanh, đóng gói cẩn thận nhé.",16631|36594|65823|72189,Kiểu dáng,
train,664af361c8515b6878d27d1abf9f1a1dbf132e78f0d6516b6deea25277dbd58d,3,2,0.7548076923076923,0.8672566371681416,True,False,"Sản phẩm tuyệt vời, đúng với mô tả. Giao hàng nhanh chóng, shipper thân thiện dễ mến. Đóng gói cẩn thận, không bị móp méo, vận chuyển rất tốt. Thời gian giao...",3579|14017|31578,Kiểu dáng,
train,0968bd45d7e7b75bb3fe73140988d998a314b4b11320365045fdf86546075db9,2,1,0.8064516129032258,0.9666666666666667,True,False,đầm đẹp rất vừa sẽ ủng hộ shop,9818|85739,Kích cỡ,
train,1680cce4d528f51690a0dde2f8067704092da868f9928fbb2460b74c3e8fd36a,2,1,0.8062015503875969,0.9134948096885813,True,False,sản phẩm đúng như mô tả trên gian hàng. đóng gói cẩn thận. giá tốt. giao hàng nhanh. sẽ tiếp tục ủng hộ cửa hàng cho những sản phẩm khác,29160|44123,Dịch vụ,
train,1e5fe985c07ab1c9ae51ee74027cd8669d9e9cd19bf0559748487cae98a207c9,2,1,0.9298245614035088,0.9661016949152542,True,False,"Giao hàng nhanh, chất lượng sản phẩm phù hợp với giá tiền ạ!",22511|58296,Chất liệu|Giá cả,
train,2a7d1c9069972536d879ba26337bc3ac93fa6de79800588b761357b32b497940,2,1,0.934010152284264,0.9724770642201835,True,False,"Quần thiết kế đẹp, form chuẩn, mặc lên rất gọn gàng và tôn dáng. Chất vải dày dặn nhưng vẫn thoải mái, không bị bí. Đường may chắc chắn, tinh tế. Màu sắc thờ...",11704|26929,Kích cỡ,
train,3e8893515096c3343bc4768eb38314784a07f15dc679e61863bb3535f971f444,2,1,0.7272727272727273,0.8784530386740331,True,False,"Vải này mặc hè cũng tạm được, không quá nóng. Kiểu dáng đơn giản, dễ phối đồ. Kích cỡ hơi rộng so với bảng size nhưng chấp nhận được. Giá cả ở mức trung bình...",7431|13700,Chất liệu,
train,4c810472544746661ef3efbd082ddf8ec54f68c7873eeda50629d2f75039ff5b,2,1,0.7794117647058824,0.9172932330827067,True,False,"Sản phẩm chất lượng, giao hàng nhanh, đóng gói cẩn thận và chắc chắn.",32909|41697,Kiểu dáng,
train,511132a415a1949d2d429a84ed9826ef6154b93ddec8a46e7b1f0d83c0402247,2,1,0.9014084507042254,0.9837837837837838,True,False,"cũng được nhưng rộng không ôm gì cả, rộng lắm không giống ôm như trong hình, vải thì được rồi",16676|61942,Chất liệu,
train,63edfc2a549e7d1a07dc2cc6e6372ef0d84a626d0e7143eab5be889e5eadc32b,2,1,0.7692307692307693,0.94,True,False,"Đóng gói cẩn thận, giao hàng nhanh, chất lượng ok.",2889|65796,Chất liệu,
train,646b668b92a35a16f5d82691824ca791190f5c31e40c2abc1d636b3dded53ae8,2,1,0.9340659340659341,0.9901960784313726,True,False,"cửa hàng giao đúng mẫu, áo đẹp lắm, mình thấy hơi mỏng nhưng giá v mà được áo như này là tốt lắm rồi.",59420|62552,Chất liệu|Kích cỡ,
train,68b5492aef9215c3c3c12df9b02fdc2f97fdadd644ccc6fa2615a6ff5b1cbd5c,2,1,0.868421052631579,0.987012987012987,True,False,quần hơi to so với tớ mét 6 mặc đẹp nè,31470|75458,Kiểu dáng,
train,83350a4e378ec68bcc4fff36b98388561bfca01a53486dca4dd11faebf00108b,2,1,0.7806451612903226,0.9119496855345912,True,False,"Vải chất lượng khá ổn, không quá đặc biệt. Kiểu dáng đơn giản, dễ mặc. Kích cỡ hơi rộng so với mô tả. Giá cả phải chăng, dịch vụ giao hàng nhanh chóng.",63817|71321,Giá cả,
train,8f19fde0946dea8c1e51147bd21c40f5a00e89e74d776a4ec950039e8b2441eb,2,1,0.7288135593220338,0.8623853211009175,True,False,Sản phẩm được đóng gói cẩn thận giao hàng nhanh giá hợp lý,10281|68609,Giá cả,
train,be9b0a8357fcdbdadf9c6d8be4caee3569cf15c087e438d1c28cb145af5c833f,2,1,0.7395833333333334,0.8695652173913043,True,False,"Quần đẹp, giao hàng nhanh, đóng gói rất cẩn thận. Cảm ơn cửa hàng rất nhiều, mình sẽ tiếp tục ủng hộ.",3076|69334,Kiểu dáng,
train,c1a674362671d92fe64368046f1d0c82f70708cbde650920e03c36d83529a159,2,1,0.8169014084507042,0.9295774647887324,True,False,"Áo đẹp, chất lượng sản phẩm tuyệt vời. Giao hàng nhanh, đóng gói chắc chắn.",22284|32201,Kiểu dáng,
train,e5c991334ff5abd1d05e26bd10e174e14e246814de03c06fedff964750c467be,2,1,0.7846153846153846,0.8633093525179856,True,False,"Chất lượng sản phẩm tuyệt vời, đóng gói rất đẹp và chắc chắn.",12176|37243,Kiểu dáng,
train,f50ce2c72115193f859e1fe4f2720d97784e8c025b893e463e87b94d15091c71,2,1,0.9714285714285714,0.9974811083123426,True,False,"ôm vừa vặn và thoải mái, thiết kế nút độc đáo, chất liệu mềm mại và bền đẹp, quần jean baggy thời trang, giá trị tuyệt vời cho tiền bạc, phù hợp cho trang ph...",22341|26849,Kích cỡ,
train,f8c60d7feea64d24b4f1fa3053f5ced7b28303d480711668d7d3d778f1849c8e,2,1,0.7804878048780488,0.8734177215189873,True,False,Dịch vụ giao hàng nhanh chóng và sản phẩm được đóng gói rất cẩn thận.,49482|72135,Kích cỡ,
train,d8f9ab0ca3b4cd460caaae8c8bec18b5178ab49aafd43f23329db8ef5c2a3e44,29,166,0.7238493723849372,0.8421052631578947,False,False,Mình mua set đồ này mặc lên người cực kỳ vừa vặn. Săn được đợt sale nên mua được giá rẻ bất ngờ vô cùng hời. Tuy nhiên khâu đóng gói của shop chỉ ở mức bình ...,961|1900|2627|8023|10203|12866|13793|14729|20514|22057|26826|27010|27797|28925|32934|35277|36261|38455|40514|41241|41397|50615|51569|54079|56973|64441|66539|82396|83385,,
train,9be3e4c67a241f453c7828997999947aba94db3d51abd56733ed8ac2d3cb003b,21,55,0.7204968944099379,0.8802588996763754,False,False,"Mình cao 1m6 nặng 50kg mặc size M vừa y xì luôn, không phải bóp lại. Canh sale nên mua được giá cực kỳ rẻ, nhưng shop gói hàng sơ sài quá, hộp móp hết trơn.",771|16547|26202|26359|28312|29802|29934|30788|35236|35836|47535|48524|51411|53425|56900|63361|75588|76241|78293|83144|88758,,
train,75b1959d9aaf804ab4df56a60333d2b5a71cee3e3357cccb841c89bcade3bed4,18,68,0.7972027972027972,0.8808664259927798,False,False,Quần bị chật phần eo không ních vào nổi. Giá cả thì đắt đỏ lố bịch so với thị trường. Được cái shop nhắn tin hỗ trợ đổi size rất nhiệt tình và nhanh chóng.,66|2353|3276|15437|18003|23817|27295|28933|30952|32518|33494|40842|49745|56965|58549|61326|78084|78497,,
train,7b3b76243940049e200d6982113bb6c61a1cd68626a113957133e2cfb4d788e0,15,26,0.7430555555555556,0.8905109489051095,False,True,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",1411|12030|13657|17571|30536|35088|37319|47494|53485|56767|57910|58295|61182|67362|77651,,Dịch vụ
train,d4c69854a6dab2748a99167c4678e129e77d6b66fe995bf1db07d8e0c6435fcf,5,4,0.8909090909090909,0.9824561403508771,False,False,"Chất lượng sản phẩm tuyệt vời, đóng gói đẹp và chắc chắn.",12082|17711|56479|60160|78236,,
train,113d2902adf150948519389781eb79a1db36b8d4a97e3160b2f94e16a0825161,3,2,0.9300699300699301,0.9673202614379085,False,False,Quần bị chật phần eo không ních vào nổi. Giá thì đắt đỏ lố bịch so với chất lượng. Được cái shop nhắn tin hỗ trợ đổi size rất nhiệt tình và nhanh chóng.,36303|60531|84568,,
train,012bf747e974e3e290b536e3ece97f83818fea3d9c7686df5e218ef560c49f7a,2,1,0.9180327868852459,0.96,False,False,"Shop giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm tốt.",4113|61810,,
train,033c9dc648e8f64c455a3ec9e188936e86ade3a50bc586c3c9fb29a44aea2163,2,1,0.75,0.8619246861924686,False,False,"Size M mình mặc vừa khít, không rộng không chật. Giá cả ở mức chấp nhận được. Giao hàng đúng hẹn, không có gì phàn nàn.",20071|64268,,
train,04ae7b40b734f22053ff73ee69fdb5face25006ceb1bab44dbedd230ca00f433,2,1,0.7253521126760564,0.8717948717948718,False,False,"Size M vừa người mình y như đo ni đóng giày. Giá thì hơi cao so với mặt bằng chung. Bù lại shop tư vấn nhiệt tình, giao hàng nhanh chóng.",38980|78235,,
train,058077dee0d5d8d2c3b42471327f38cb5d872b9fb9c47ef4c1004f3f24da966a,2,1,0.8676470588235294,0.9784172661870504,False,False,"phù hợp với giá sản phẩm , dễ dàng cử động và dễ chịu khi mặc, đơn giản",35721|83725,,
train,0b82d4367179e099fef3fa506df7c03f7fc2a7e17d95e499938075c8229bc8dc,2,1,0.7251908396946565,0.8989547038327527,False,False,"Mình đặt size L thấy mặc rất thoải mái, không bị gò bó. Giá cả phải chăng, không quá đắt cũng không quá rẻ. Giao hàng đúng hẹn, không có gì để chê.",31642|50358,,
train,13cdabe3f7522a6690972f4ea1335500b721ea6bef1269e3107a6c28453e0ee9,2,1,0.9688888888888889,0.9957924263674615,False,False,"cửa hàng giao nhanh nhưng áo mặc ngứa, vải thô cứng lúc bấm mua chọn size nhưng khi cửa hàng giao áo và quần không có size mình chọn size m chọn 2 màu nhưng ...",51928|57918,,
train,17a8be7d65e70c4d0fab6223e1d5004cd6c6c321d136db3cc0a7584f813108d4,2,1,0.75,0.8652482269503546,False,False,"Dáng đúng mô tả, chất lượng phù hợp với giá thành. Sản phẩm đúng như quảng cáo.",14644|48726,,
train,1b6430214cdc383bdcab4a2705bdfe165d22d7305bc32a5ea4a1864642b62481,2,1,0.8554216867469879,0.9759036144578314,False,False,"Giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm tốt. Mọi người nên mua nhé.",62982|80248,,
train,1fdc0cc14059f71bf625568e7461e5bff04f36472f078928883f5356e5020e3e,2,1,0.740909090909091,0.8883928571428571,False,False,"Chất vải tàm tạm, không quá mềm mịn như mình tưởng tượng. May mắn là quần mặc lên người rất vừa vặn, không cần chỉnh sửa gì thêm. Tuy nhiên, mức giá này thực...",43013|46267,,
train,22850445ef84f4e369a59b237f0dc70aac661e8d90d309d882e9b9d4ea9d7882,2,1,0.9104477611940298,0.9875,False,False,đặt 1 cái hông và cái sọc cổ đen nhưng gíao 2 cái sọc . cửa hàng đổi cho chị nhé,64281|83723,,
train,2be2ecb361beb91ce4c9993faa7bc421b2549e17136aa36ae10d7750bf784ba4,2,1,0.7619047619047619,0.8727272727272727,False,False,"Áo khoác size M của mình mặc vừa vặn, không rộng cũng không chật. Giá ở mức chấp nhận được. Giao hàng đúng hẹn, không có gì để phàn nàn.",4501|67960,,
train,2fd14547682ea742189bebf249aa7f0baabd1870388312588fb2d9cdaaa886fe,2,1,0.8688524590163934,0.9682539682539683,False,False,"Giao hàng nhanh, đóng gói cẩn thận, rất đáng mua nha mọi người.",54568|70581,,
train,30f11bbf32c2c9d9e5a9e4ef45c214fe228f2c3f18577ffc6cadd92d8e648ce5,2,1,0.7407407407407407,0.8495575221238938,False,False,Chất lượng sản phẩm tuyệt vời! Đóng gói sản phẩm rất chắc chắn!,26904|46817,,
train,3d3ecaecdc997c9e7bb0bab70871760920ff238e518a5ac73f77bb919d4d362b,2,1,0.875,0.9692307692307692,False,False,"Chất lượng sản phẩm tốt, giao hàng nhanh và đóng gói rất cẩn thận.",1250|23378,,
train,41020a2a35f26b1a37485083f3700267eac062f7e3a859108e5d7fba57438742,2,1,0.9441624365482234,0.9595375722543352,False,False,"Quần jean này mình mặc rất vừa vặn, đúng với số đo đã cung cấp. Giá thành của sản phẩm theo mình là ở mức chấp nhận được, không quá đắt cũng không quá rẻ. Sh...",1551|22972,,
train,442af30c058174385776332394732b1c1d3f01831bea9953b0fa627f84a993bc,2,1,0.944,0.9848484848484849,False,False,"Quần áo vẫn chất lượng như mọi lần. Vải thoáng mát, co giãn, độ ôm vừa phải và mẫu mã đẹp. Mình đã mua ủng hộ cửa hàng nhiều lần rồi.",23282|43715,,
train,4be39e36a74f2b62abd0382867cbc85c5a4ba712d8c3318c1b0d65fc3f9f5346,2,1,0.8026315789473685,0.92,False,False,"Shop đóng gói cẩn thận, giao hàng nhanh. Mình sẽ tiếp tục ủng hộ shop.",21637|56227,,
train,4c7cab466c86f15c8d94a813f853b189a96844d5bac5b4de17411e6f816cb112,2,1,0.9272727272727272,0.975609756097561,False,False,"Chất lượng sản phẩm tuyệt vời. Đóng gói rất đẹp và chắc chắn. Shop phục vụ rất tốt, rất đáng tiền. Thời gian giao hàng nhanh.",21103|46490,,
train,4fa21cb92c60737c772bf2ca6c7e2704eb60f8703469e22f98a1ba615b9d66f6,2,1,0.7235772357723578,0.8991596638655462,False,False,"Mặc size S vừa in người mình, không cần sửa gì. Giá cả hơi nhỉnh nhưng giao hàng nhanh như chớp, đóng gói cẩn thận.",790|61087,,
train,5f3f9874396d09d681e2dd81be4e496f81e35b6a2938c9466943025d883355b1,2,1,0.8974358974358975,0.9900990099009901,False,False,giao không đúg màu đặc sọc trắng đen giao màu đen.,10649|15799,,
train,6397cafc7c7894e12168c2bd120a3ba392c4438e65c884157ec1a4c04d24347c,2,1,0.782608695652174,0.862144420131291,False,False,"Mình mua chiếc váy này mặc vừa y chang, không cần phải sửa lại. Giá sản phẩm ở mức chấp nhận được, không quá đắt nhưng cũng không quá rẻ. Tuy nhiên, shop tư ...",16924|58445,,
train,6b3fe04c9de581d782dce395451a20c0a41eec3bdbde97cf0fdc028ec811a9b7,2,1,0.7878787878787878,0.9387755102040817,False,False,"Mình thấy giá này siêu rẻ mà chất lượng rất ổn. Mình mua cho người yêu, anh ấy khen và thích lắm.",79506|80530,,
train,7045298685dc69d2876a8f23f7b04dfa6d0da9fd97326c8e1a53ce04d8a2d17c,2,1,0.8235294117647058,0.94,False,False,"sản phẩm đẹp, giao hàng nhanh mọi người nên mua",160|24029,,
train,748775403cfa2295ab6d1853b1bade54948dc2d8f07dd328f0aa570dfb1713f8,2,1,0.7543859649122807,0.8660968660968661,False,False,"Chất liệu vải hơi mỏng so với hình, kiểu dáng đơn giản dễ mặc hàng ngày. Kích cỡ vừa vặn không quá rộng cũng không quá chật. Giá cả khá hợp lý, dịch vụ giao ...",47112|64089,,
train,831be36131f623259a37ff2460d0b8903da9e9769b89528756a2facfbee8d089,2,1,0.8691099476439791,0.8516746411483254,False,False,"Quần này mình mặc lên người thấy vừa vặn lắm, không cần phải bóp sửa gì cả. Giá cả sản phẩm ở mức trung bình, cũng tương xứng với chất lượng. Shop đóng gói s...",25468|43380,,
train,85dbce6ad21bc876d839ea09087a2a1bffead1505fb1a09c5367f5e51b6c79b5,2,1,0.7879858657243817,0.9215116279069767,False,False,"Giao hàng nhanh, vận chuyển 5 sao. Áo rộng, màu đẹp, vải kiểu mịn không sợ nhăn +2 điểm (xem video để biết rõ chất vải và độ mịn). 1m65 nặng 70kg mặc kích cỡ...",36681|71438,,
train,863c8bdaacf8b5d3adcf5ffe29d50e761cf7e0d2ec9a044e821f779a519e3d4c,2,1,0.8388059701492537,0.9126691266912669,False,False,"Ưu điểm: thoáng mát, thấm hút mồ hôi tốt, chống nhăn. Kiểu dáng basic đơn giản, dễ phối đồ, phù hợp nhiều hoàn cảnh. Thiết kế tỉ mỉ, tinh tế với đường may ch...",21686|40799,,
train,8d70813858014f383630ab58e321945cfa5a5a4bd75667b43893469da5c32767,2,1,0.9230769230769231,0.8321167883211679,False,False,"Sản phẩm tốt, chất lượng, giao hàng nhanh chóng và đóng gói cẩn thận.",58739|85385,,
train,8d9112bc9b24a001c7defe1cb048456c34fc7ba649a43ef202368539f36b6a67,2,1,0.9108910891089109,0.96,False,False,Dịch vụ giao hàng nhanh chóng và sản phẩm được đóng gói rất cẩn thận. Tôi chắc chắn sẽ tiếp tục ủng hộ cửa hàng.,6285|33189,,
train,8e53b0ac29c4b751d64a12e126146bce9c1a49d1d0f37eeeb6084492f2e0f83b,2,1,0.7236842105263158,0.8309859154929577,False,False,"Đồ đẹp, chất lượng. Cửa hàng tư vấn nhiệt tình và có hỗ trợ đổi trả.",75266|75614,,
train,9d94ad86df0ee5d355821a77fdc779c1ae637d670893533c2832d83e82333fe2,2,1,0.8369565217391305,0.9565217391304348,False,False,"Sản phẩm đúng mô tả, chất lượng tốt, giao hàng nhanh và đóng gói cẩn thận. Mình rất hài lòng!",8642|44514,,
train,a9daf632171e1926be63125e282ee21e3a6b39dccf99011e699fafc585601762,2,1,0.7727272727272727,0.8755760368663594,False,False,"Mua đúng size M mặc vừa in, không cần chỉnh sửa gì. Giá cả hơi nhỉnh nhưng giao hàng siêu tốc, đóng gói rất cẩn thận.",21958|86285,,
train,ae47aafce67c73ef63f064fbd3efe40964b05ce49e64ae282ea779447f0f0c15,2,1,0.7526881720430108,0.8540540540540541,False,False,Cửa hàng giao hàng rất nhanh và đóng gói sản phẩm cẩn thận. Tôi chắc chắn sẽ tiếp tục ủng hộ.,81714|87856,,
train,b3d9614c4614f777b206d7d350bcf227d82d6b7065a036f0a1d98f198da4631e,2,1,0.7201834862385321,0.8780487804878049,False,False,"Khâu đóng gói của shop chỉ ở mức bình thường, hộp carton hơi móp méo chút xíu, nhưng mình mua set đồ này mặc lên người cực kỳ vừa vặn và săn được đợt sale nê...",7096|52973,,
train,cb867e6682a72cd6c7c769a59a1765035c22d529cdfb5630f7c39c9ff5cb4494,2,1,0.7301587301587301,0.8548387096774194,False,False,"Giao hàng nhanh, đóng gói cẩn thận, sẽ ủng hộ cửa hàng tiếp.",25214|81805,,
train,e4109e538b3f87ae1c24a5bc183e79d95bfb34f2a2f0749993e6ccf18c17564f,2,1,0.8888888888888888,0.9722222222222222,False,False,"Giao hàng nhanh, đóng gói cẩn thận, sản phẩm đúng mô tả, giá cả hợp lý.",50737|63849,,
train,e71fbac2c58ad491b45267fca6089ea8bb828e4077415149b921360bf82bb511,2,1,0.7925925925925926,0.8273381294964028,False,False,"Áo này mình mặc size S vừa như in, không chật không rộng. Giá cả phải chăng, rất đáng tiền. Shop đóng gói cẩn thận, giao hàng nhanh chóng.",7794|47138,,
train,eb591df3448e25cccc67f4cdb9e91da331d30d429b31c648aac5553a88335c8d,2,1,0.7313432835820896,0.8664259927797834,False,False,"Size L mình mặc thấy thoải mái, không bị gò bó chút nào. Giá cả ở mức chấp nhận được. Giao hàng đúng hẹn, không quá nhanh cũng không chậm.",22297|80181,,
train,ed478133d9f4b5377e582618fef464f27c8971a4e9275ad4259d4d4872b03178,2,1,0.8024691358024691,0.85,False,False,"Sản phẩm mặc vừa vặn, rất ưng ý. Sẽ tiếp tục ủng hộ cửa hàng trong tương lai.",73057|78132,,
train,f531dad7b9ed8695c9ae7a8670c3dab36478865fcc5b2ddc118fbe396e0ba3b8,2,1,0.8620689655172413,0.9387755102040817,False,False,"Chất vải nỉ sờ vào bình thường, không quá dày dặn như mong đợi. Được cái quần may rất chuẩn, mình mặc vừa in không cần sửa. Tuy nhiên mức giá này thực sự hơi...",13490|48483,,
train,f8ff04fa8008e4d4a3b294ae30cd82ed63b42e2848ae229d7e5a80838dfedcb3,2,1,0.7209302325581395,0.8857808857808858,False,False,"Chất vải nỉ sờ vào bình thường, không quá dày dặn. Được cái quần may rất chuẩn, mình mặc vừa in không cần sửa. Mức giá này thực sự hơi chát, cộng thêm việc s...",12162|30106,,
